 0.1, 0.0794, 0.0849785, 0.297712, 0.374749
 0.190476, 0.150177, 0.160359, 0.324056, 0.383355
 0.280952, 0.218967, 0.232847, 0.36305, 0.398127
 0.371429, 0.284719, 0.301195, 0.41093, 0.417186
 0.461905, 0.345712, 0.364874, 0.440212, 0.463523
 0.552381, 0.397924, 0.424197, 0.470493, 0.516737
 0.642857, 0.436081, 0.479495, 0.513467, 0.567834
 0.733333, 0.463145, 0.53021, 0.566641, 0.615684
 0.82381, 0.48561, 0.574807, 0.623948, 0.660903
 0.914286, 0.506511, 0.61212, 0.68255, 0.69825
 1.00476, 0.526951, 0.64287, 0.724998, 0.740459
 1.09524, 0.547361, 0.668968, 0.746635, 0.777378
 1.18571, 0.567923, 0.692136, 0.76571, 0.799053
 1.27619, 0.588714, 0.713527, 0.783529, 0.818974
 1.36667, 0.609762, 0.733861, 0.800782, 0.838096
 1.45714, 0.63107, 0.753583, 0.817845, 0.856762
 1.54762, 0.652631, 0.772977, 0.834935, 0.875167
 1.6381, 0.674432, 0.792225, 0.852175, 0.893439
 1.72857, 0.696456, 0.81145, 0.869637, 0.911668
 1.81905, 0.718688, 0.830733, 0.887364, 0.929921
 1.90952, 0.741112, 0.850125, 0.905376, 0.948248
 2, 0.763714, 0.869664, 0.923682, 0.966684
